date,default_rate
2017-01,0.011154323344149647
2017-02,0.010718791855115787
2017-03,0.0105715767281481
2017-04,0.010302480837385643
2017-05,0.010702602628075339
2017-06,0.010671498676544579
2017-07,0.010600885332794142
2017-08,0.01059224859534457
2017-09,0.010437655877918528
2017-10,0.010318712854533086
2017-11,0.009981771239216909
2017-12,0.009727710948017545
2018-01,0.010200751044307657
2018-02,0.009995398788021186
2018-03,0.010081595999664055
2018-04,0.010091749022030059
2018-05,0.010209482511239359
2018-06,0.010189418265287306
2018-07,0.00990399767113665
2018-08,0.009679142704503315
2018-09,0.009648625584741593
2018-10,0.009606457009955783
2018-11,0.009523953361928352
2018-12,0.009595004011639742
2019-01,0.009366964431694883
2019-02,0.00963203335728336
2019-03,0.009346829451693475
2019-04,0.009797861339464699
2019-05,0.009916287351205434
2019-06,0.010756300590648967
2019-07,0.010935806956491828
2019-08,0.010590101613525603
2019-09,0.009905751653329995
2019-10,0.009174648197071669
2019-11,0.008606403118978466
2019-12,0.007948128592265763
